"gene","M-F_log2ratio","pval","chr","human_ortholog"
"WDHD1",0.133226214885762,0.0333616976808828,"7","WDHD1"
"MGARP",0.133115647604451,0.0763511118427985,"5","MGARP"
"KCNA6",0.132982264214498,0.0583392678116451,"11","KCNA6"
"EXOSC8",0.132819478731363,0.0703498804376219,"17","EXOSC8"
"PTPN5",0.132609619327799,0.221035826881719,"14","PTPN5"
"MRPL33",0.132310764511674,0.108033214457564,"13","MRPL33"
"EGFL8",0.132261326322647,0.217719817841343,"4","EGFL8"
"LOC722013",0.131708299086859,0.0462577946760558,"14",NA
"CLYBL",0.131626399369415,0.112026642696073,"17","CLYBL"
"CDC20",0.131458379611168,0.196603200717515,"1","CDC20"
"LOC706585",0.131203771943021,0.290951465749802,"7",NA
"GPR89B",0.131163931786768,0.136403842451222,"1","GPR89A"
"MRPS26",0.131008629218876,0.0484762265500764,"10","MRPS26"
"SIP1",0.130812883647566,0.0364277567743231,"7","GEMIN2"
"NDUFS2",0.130770398991771,0.0770755671958059,"1","NDUFS2"
"LOC701241",0.130633889738249,0.0533485691167319,"10","TRIOBP"
"GCN1L1",0.130607521246178,0.0417837067069581,"11","GCN1L1"
"LOC695662",0.130268139130661,0.106964966234516,"4","TAF15"
"ST8SIA5",0.130263095339933,0.0196444482272251,"18","ST8SIA5"
"UQCR",0.130218386113369,0.173686372647223,"19","UQCR11"
"LOC696606",0.130207624575644,0.0813398924878093,"17","PROSER1"
"LOC710736",0.130049786230685,0.131554983052273,"1","C1orf53"
"HNRNPD",0.129975322959708,0.159637894451513,"5","HNRNPD"
"SNRPA",0.129891652304594,0.0365776134801832,"19","SNRPA"
"CLPP",0.129833972738023,0.113976022893754,"19",NA
"DENND2C",0.129243114045496,0.0739089085148739,"1","DENND2C"
"HSPA8",0.128834066922051,0.162152864957141,"14","HSPA8"
"LOC722715",0.128673825171569,0.612484199798142,"5",NA
"SRGAP1",0.128462148685812,0.574783498507803,"11","SRGAP1"
"HEMK1",0.128376391760111,0.188889944284896,"2","HEMK1"
"ZIC2",0.128336198865314,0.172909844581213,"17","ZIC2"
"LOC721986",0.127888647882371,0.297876265643712,"17","N4BP2L1"
"OIP5",0.127728649473222,0.220326805487227,"7","OIP5"
"RAN",0.127422069126193,0.104663460943717,"11","RAN"
"LOC706833",0.127263573210068,0.160355172484945,"17","EBPL"
"EIF3G",0.127227703124494,0.0667295066440213,"19","EIF3G"
"CCDC80",0.12712400117655,0.32284946361006,"2","CCDC80"
"LOC704705",0.126960561817681,0.124829584920705,"15","SWI5"
"SRRT",0.126928976607136,0.151090002238417,"3","SRRT"
"LOC100427957",0.126855339768238,0.304452613693902,"4",NA
"SSBP1",0.126761505465141,0.189651330372423,"3","SSBP1"
"LOC100426884",0.126514796626632,0.341839339497997,"16",NA
"RIMKLA",0.126260516658988,0.0724837654356739,"1","RIMKLA"
"NHLH1",0.126199513715484,0.0613981566416961,"1","NHLH1"
"LOC719479",0.12607197341806,0.083101420712004,"16","CSNK1D"
"LOC710495",0.126045449892696,0.0613679002609578,"19","LIN37"
"TEX30",0.12596964235174,0.122810040252352,"17","TEX30"
"LNP1",0.125729177225303,0.256989241871726,"2","LNP1"
"GCDH",0.125617798020566,0.116561815741527,"19","GCDH"
