"age","gene_acronym","DPall","MPall","SPall","p2A"
"E15.5","Elf2",1.35992,2.03422,0.963202,0.798964
"E15.5","Elf3",0.0517469,0.0452012,0.0213336,0.0175134
"E15.5","Elf4",0.0271273,0.0347431,0.0526539,0.0117825
"E15.5","Elf5",0.0308578,0.0422021,0.0612846,0.0785301
"E15.5","Elk1",0.653998,1.55028,1.24166,2.35279
"E15.5","Elk3",0.0901762,0.0870942,0.0843481,0.0681643
"E15.5","Elk4",0.036618,0.051429,0.0301107,0.0376475
"E15.5","Emx1",0.0190016,0.122147,0.0277891,0.040592
"E15.5","Emx2",0.0590221,0.313537,0.0173406,0.0261062
"E15.5","En1",0.04775545,0.01759165,0.0843904,0.05289505
"E15.5","En2",0.0100372,0.0339455,0.0106438,0.00129039
"E15.5","Enah",3.42033,4.70357,2.21916,3.4901
"E15.5","Enc1",12.688395,5.87386,5.538985,8.106335
"E15.5","Eng",1.66225,2.47213,1.63707,2.24053
"E15.5","Eomes",10.26935,17.0319,2.21889,2.2597045
"E15.5","Ep300",3.36296,3.88553,4.03406,6.63928
"E15.5","Epas1",1.01105,1.55995,1.01738,1.13707
"E15.5","Epha1",0.0781271,0.0424495,0.0434326,0.0118761
"E15.5","Epha10",0.0422291,0.0415054,0.0873066,0.213546
"E15.5","Epha2",0.0267551,0.0506098,0.0362929,0.0595741
"E15.5","Epha3",0.164058,0.049777,0.0600641,0.0612455
"E15.5","Epha4",1.59669,6.393945,2.203475,2.459585
"E15.5","Epha5",1.09965,0.641475,1.00584,0.242242
"E15.5","Epha6",0.0320188,0.213859,0.112888,0.0579076
"E15.5","Epha7",0.0382722,0.0938814,0.013812,0.0397464
"E15.5","Epha8",0.0712555,0.202731,0.265385,0.430002
"E15.5","Ephb1",5.75576,6.81541,5.94539,3.93845
"E15.5","Ephb2",0.259455,1.62181,0.27487,1.31282
"E15.5","Ephb3",0.0213154,0.0733233,0.0580927,0.0416308
"E15.5","Ephb4",0.0749363,0.165267,0.0845295,0.0320385
"E15.5","Ephb6",0.0975857,0.280867,0.03346135,0.2394295
"E15.5","Erbb2",0.204471,0.248666,0.0931055,0.0609335
"E15.5","Erbb3",0.0156048,0.0135031,0.0153588,0.00396765
"E15.5","Erbb4",0.674007,0.717883,1.01119,1.66402
"E15.5","Ereg",0.011894375,0.01836735,0.008022585,0.01109701
"E15.5","Erg",0.266962,0.313763,0.28801,0.124245
"E15.5","Esr1",0.0187862,0.0109177,0.0182393,0.00940207
"E15.5","Esr2",0.00829888,0.0106774,0.00497643,0.00806621
"E15.5","Esrra",0.037121,0.0595706,0.0528871,0.0318765
"E15.5","Esrrb",0.0877562,0.0692599,0.00685927,0.612332
"E15.5","Esrrg",0.0161159,0.0203051,0.0893597,0.269822
"E15.5","Esx1",0.00811214,0.0280563,0.0325557,0.00342142
"E15.5","Ets1",0.708198,1.19764,0.666007,0.856524
"E15.5","Ets2",0.103679,0.0876911,0.126247,0.0452393
"E15.5","Etv1",0.1419713,0.04993025,0.671451,0.3650255
"E15.5","Etv2",0.0940213,0.013775,0.0518723,0.00504793
"E15.5","Etv3",0.0364672,0.0260728,0.0437729,0.0136823
"E15.5","Etv3l",0.00578546,0.0136103,0.00537875,0.0124957
"E15.5","Etv4",0.017394,0.0209878,0.0189663,0.00812186
"E15.5","Etv5",0.683172,0.399825,0.328418,0.210279
"E15.5","Etv6",0.194306,0.282423,0.160122,0.165073
"E15.5","Evi5",0.0341511,0.0815722,0.0144128,0.0166629
"E15.5","Evl",5.53605,4.59296,4.0617,6.31291
"E15.5","Evx1",0.44853845,0.53183435,0.73360245,0.88144185
"E15.5","Evx2",0.0156186,0.0142203,0.0243375,0.00930884
"E15.5","Eya4",0.00951594,0.16153,0.0922269,0.052126
"E15.5","Faah",0.0133767,0.0548325,0.0218136,0.0133633
"E15.5","Fam189a2",0.0183382,0.0204317,0.0137559,0.0223389
"E15.5","Fam3c",0.0391703,0.0198971,0.0207554,0.0194709
"E15.5","Fam40b",0.0480103,0.0137216,0.0643737,0.00849842
"E15.5","Far2",0.0617568,0.125779,0.199062,0.217588
"E15.5","Fas",0.0295574,0.035416,0.0376124,0.0121068
"E15.5","Fat1",0.283781,0.666689,0.601685,0.414541
"E15.5","Fat3",0.628493,0.937655,0.966459,1.36778
"E15.5","Fbxw4",0.0304543,0.0216889,0.0138188,0.0187286
"E15.5","Fbxw7",0.319456,0.136415,0.254774,0.241255
"E15.5","Fcna",0.0146954,0.00910636,0.0064959,0.004367
"E15.5","Fcnb",0.0367549,0.0329667,0.0292003,0.101936
"E15.5","Ferd3l",0.044074,0.0508774,0.0790371,0.0262447
"E15.5","Fez1",12.2679,11.2947,6.16378,6.54831
"E15.5","Fezf2",11.41316,8.10618,0.5788615,0.39459
"E15.5","Fgf1",2.35893,3.67783,3.24704,6.78063
"E15.5","Fgf10",0.00787958,0.0131293,0.0196441,0.00733548
"E15.5","Fgf12",0.03501896,0.0332976,0.037929025,0.014060685
"E15.5","Fgf14",0.112298,0.100177,1.01425,0.0748199
"E15.5","Fgf15",0.05542075,0.12730805,0.48414,0.33721
"E15.5","Fgf16",0.00667457,0.0116532,0.00706569,0.00402751
"E15.5","Fgf17",0.00747637,0.00468886,0.0377002,0.00269647
"E15.5","Fgf18",0.0311973,0.0165386,0.0426564,0.00781534
"E15.5","Fgf2",0.0161449,0.0186033,0.0403258,0.00785665
"E15.5","Fgf23",0.107528,0.0241068,0.0315608,0.00480851
"E15.5","Fgf3",0.0536682,0.0365391,0.100801,0.0211824
