NCX_E50	NCX_E70	NCX_E80	NCX_E90	NCX_E120	NCX_0M	NCX_3M	NCX_12M	NCX_48M	HP_E50	HP_E70	HP_E80	HP_E90	HP_E120	HP_0M	HP_3M	HP_12M	HP_48M	AM_E50	AM_E70	AM_E80	AM_E90	AM_E120	AM_0M	AM_3M	AM_12M	AM_48M	BG_E50	BG_E70	BG_E80	BG_E90	BG_E120	BG_0M	BG_3M	BG_12M	BG_48M	TH_E70	TH_E80	TH_E90	TH_E120
LOC100428777	LOC708681	MYRIP	LOC704341	HSPA12A	MICAL2	LOC703821	TRAPPC1	LOC100431004	SCN2A	ERBB4	ATP1A2	KRT20	ALDOC	LPGAT1	PITPNM2	SPATA22	LXN	LOC693361	EIF1AY	PEX3	CCBE1	RORA	EGR2	GJB6	GREB1	TMEM144	KITLG	APOE	LOC100423098	LOC713636	FOLH1	LOC709889	S1PR5	ACVR1C	SPP1	SH3RF3	HSD11B2	PPIP5K2	NTN4
RORB	HAPLN1	LOC721324	STYK1	UNC13C	WIF1	DOCK5	NCDN	DCBLD2	BHLHE22	LOC707075	MT3	KIAA1024	MGLL	ENPP2	LOC100427283	NUDT1	TSC2	LOC717880	LOC703140	MED23	HLF	LOC714407	ASPA	AGXT2L1	CHD1L	LAMP2	LOC707075	WIF1	LOC701153	CD109	AKAP14	GABRA4	CA12	F2RL1	OGN	ERBB4	LOC100424132	AGXT2L1	FAM70A
LOC100424132	SEMA3C	C14H11orf87	GATM	PRKCB	LOC699459	HRH3	MOXD1	ABCA8	NTRK3	TNC	DTNA	FEM1C	AGXT2L1	LOC706977	SEPT4	KIF21A	C3H7orf55	MGST1	GATM	ZNF281	TMEM100	LOC100424959	MYBPC1	CD52	CNDP1	DHX58	SYT1	ITPR1	C1GALT1	P2RX7	C5AR1	LOC707198	SEPT4	WNT5A	LOC703629	APOE	KCNA2	KRT20	TSPAN5
PAK7	EPHA3	DLX1	VIT	KCNJ6	CD300E	PHF15	LOC697057	CCDC138	SPOCK1	PTPRU	C13orf36	GATM	CLU	TRHDE	CCDC27	LOC100424920	ERCC4	ZFPM2	ME1	MLC1	LARP1B	KCNJ10	RERGL	SEPT4	GPC5	ERMN	LOC100424132	GNB4	LOC100424132	IFI44L	CX3CR1	NRGN	RGS14	WIF1	ATAT1	S100B	PLCB1	CTAGE5	BEND4
TOX	CHRDL1	MEF2C	PPIP5K2	GXYLT2	EIF1AY	CBX7	DOCK5	LOC706570	LOC698043	PCDH9	LOX	CES2	HDAC11	LOC704204	GJB2	LOC713582	LOC714789	LOC716670	FAM107A	LOC711298	LOC704341	IGIP	IFIT3	CRYZ	LOC697267	OTUD4	SYT6	HAPLN1	GRAMD3	SOCS5	ACBD7	HSPA8	LOC709358	FAM70A	LOC716633	FSTL5	SPTSSB	LARP1B	HS3ST5
DLX2	WIF1	CLMP	SNAI2	PTPRU	LOC715436	LOC707198	NKX3.1	DOCK5	CHRDL1	MUC4	TNC	DOCK7	PCNXL2	OPA1	SERPINB1	S100A6	ULK2	CNTN4	LOC100424360	MT3	ZNF638	FAM107A	ARHGAP36	NPTX1	LOC100423163	SLCO1A2	MYT1L	IRX1	CD46	SPTAN1	TGFBI	HBB	LOC100423915	LOC707371	NDRG1	WNT10B	PCDHA6	RGN	FDCSP
PLXNA2	HTRA1	CDH8	CD109	SSTR1	CPT1A	LOC697267	LOC100426831	GPR37	AKAP2	IGF1	LRIG1	LOC720960	ACBD7	LOC711458	LOC100426429	CD48	TOR1AIP2	C1H1orf95	FRMPD4	CCBE1	LOC710257	LOC705675	MOG	RGN	TEX15	LOC100425286	LOC711283	THRB	S100B	ZYG11B	GPC5	NEFM	BHLHE40	TDRD9	CD3D	PKIB	THBS1	MYBL1	LOC721324
SCN2A	PMP22	PSD3	NEFL	RASGEF1A	DUSP3	CLDN11	LOC716225	PDE8B	LOC100428777	LOC706574	LOC716319	CTAGE5	LOC706574	CA2	S100A6	FAM70A	CYB5D2	LOC100423984	SPOCK3	AK4	LOC717240	LOC718169	LOC711448	ENPP2	CD38	ANXA1	NRXN1	MLC1	AQP4	KRT20	FAM107A	OPALIN	LOC705656	PM20D2	LOC700539	LOC708755	LOC709676	UNC80	KLHL24
LOC699880	SLC22A23	CCR1	ZYG11B	ZDHHC14	LOC100428250	LOC100424463	IFIT1	MAMU.DPB	LOC693361	SNX10	S100B	TRPM3	GABRA5	LOC698043	ALOX15	CLCNKA	RSRC1	LOC708561	LOC708205	NECAB1	PPIP5K2	HDAC11	LOC701314	ZNF281	UBE2T	SLC7A9	LOC715864	CRTAC1	STK17B	SRGN	GPR37	COCH	HDAC11	UPRT	PON3	NELL1	GXYLT2	SPATA22	GNB4
KLF7	SPARCL1	GXYLT2	C13orf36	LOC100424432	NFKBIZ	SCN1B	SCN1B	BCHE	PCDHA6	TAC1	CCDC80	BDNF	ETV6	TMED5	LOC714834	C1QA	LOC722715	GUCY1A3	PNMA5	LOC709676	IPMK	COL3A1	LOC709889	MRVI1	BMPR1B	LOC709889	HIVEP3	LOC699173	LPCAT2	SYCP3	RNASE6	UNC80	PRKCH	CST6	TULP3	LOC695315	CHRM3	FEM1C	KBTBD10
