NCX_E50	NCX_E70	NCX_E80	NCX_E90	NCX_E120	NCX_0M	NCX_3M	NCX_12M	NCX_48M	HP_E50	HP_E70	HP_E80	HP_E90	HP_E120	HP_0M	HP_3M	HP_12M	HP_48M	AM_E50	AM_E70	AM_E80	AM_E90	AM_E120	AM_0M	AM_3M	AM_12M	AM_48M	BG_E50	BG_E70	BG_E80	BG_E90	BG_E120	BG_0M	BG_3M	BG_12M	BG_48M	TH_E70	TH_E80	TH_E90	TH_E120
VWCE	WDR33	LOC704076	RIMS3	AHNAK	KRIT1	TOP3B	GABRB3	RHOG	RASGRP1	STX6	LOC712128	ADAL	LRRC49	LOC718665	ST3GAL3	IFT140	KLHL17	SLC4A9	SUPT5H	SUDS3	PPARA	LOC713416	C13H2orf73	LOC705134	KPNA1	LOC719786	LOC720098	FAM102B	LOC716822	LOC100427909	LOC720427	LOC705534	EZR	SOX3	LOC704061	ASAP2	UXT	MAPK12	LOC709698
SIGLEC1	CTSO	ILF3	USP14	COMMD2	ZNF618	LOC100429683	ENPP6	TSACC	BCCIP	NAB2	ARHGAP11A	CCDC108	LOC696351	FBP2	STRN4	ILF2	LOC709215	LOC707129	TLE3	POLR2G	OXSR1	WDR47	ELAVL2	ACOT7	RORA	CREB3L4	CREM	HSPD1	C20H16orf87	UMPS	GLRB	RPL27	LOC100425851	RTN2	HTR2C	CBX6	TFEC	ABHD12B	PHF7
LMOD2	MYO1D	LOC705537	DNALI1	BLOC1S1	HOMER1	SERPINB5	LOC100430860	LOC714601	SMAD5	RPL38	LOC100426971	RAB11FIP3	TMEM231	LOC100425169	CEP72	MEIOB	KLHL5	FOXN4	LOC708526	SUMO1	MFAP5	PTHLH	FBN3	HYPK	OSBPL9	FAM43A	PCNP	PAIP2	SCML4	COX6B1	HEXIM2	CNTROB	ACACA	ALMS1	LOC721178	MAOA	TBP	LOC100430128	ZBTB6
FGR	PPAT	ATP6V0A2	RFTN1	ZMYM4	LOC694817	OLFM2	LOC100426044	TIMM9	CIRH1A	CHEK2	BCKDK	LOC709733	SHOX2	PDGFC	NT5C	PRPF3	NLGN1	LOC715236	NOS2	KATNAL1	RASSF8	SYNRG	SEC22C	RASSF6	LAMTOR2	CPLX3	NOL10	KIF22	LINGO1	SCNM1	MLKL	LOC695027	TXNDC11	PTDSS1	TRAF3	RPS6KA6	TNKS	LRRTM3	ZNF689
TMPRSS9	LOC693912	CLRN1	ZNF512	LOC100428624	GRK6	LOC717639	PHYHIPL	KCNJ9	EPB41	HSDL1	LRRFIP2	LOC100428292	CDH11	PDP2	LOC716225	SDF2L1	DDC	FASTKD2	LOC719774	GAK	GBF1	PHLDB2	C7H14orf1	TMOD2	OPA1	GRK7	OGDH	SRSF5	LOC711250	ATXN1L	FZR1	ENOX1	PPIE	CDK11B	DYNC1I2	CRYGA	LILRB1	KDM4B	LOC715250
DUSP9	TPM3	NAPA	LOC722479	BRCA1	LOC722762	APH1A	SCARB1	COASY	FNTA	CYB5B	CLRN1	LOC719213	LOC706346	CD44	GMPR2	PNO1	PHF16	ZNF831	C20orf29	CENPL	STK38L	ADAM21	LOC100425169	EVI5L	SPRY2	MAP2K3	LOC712904	EEF1A1	KDM5A	LOC709004	HIF1A	ACPL2	TNFRSF10D	ITPA	LOC701052	CC2D2A	DNAJB9	ENTPD1	CCT6A
PROX1	MEOX2	LRRC8A	CLP1	NOTCH3	FAM165B	CALD1	LOC100427578	AKT3	LOC100426593	LOC707820	ADCYAP1R1	THTPA	EGLN1	CST6	TTC7A	PDPR	TAX1BP3	MED21	ZFAND2A	UQCRC1	DUT	XG	LOC709698	MARCKS	TMEM60	CAD	LOC709915	NUP155	FIG4	CALCOCO2	CLN6	ZNF133	ABCC10	LOC710818	LOC705778	CD200	LHX8	LOC720833	GPRIN2
OR6M1	GNAS	BBS7	ITGB4	UBTF	FPGS	CRY2	LOC693900	SEC22C	RBMS2	LOC712579	SK3	REXO4	PSMG2	ZNF780B	RRNAD1	LOC714684	LOC100427527	FXYD3	PKDREJ	UBA2	LOC694817	HCRT	LOC716378	LOC694100	NDUFS1	ZNF407	LAT	DICER1	SIN3B	LOC706967	TRAPPC2	LOC701524	PCGF6	EIF3I	NMD3	LY96	MLF1	RHOU	SRSF3
RGR	PSMB4	MAP1S	FAM86A	GTF2A2	SIRT1	KRI1	LRRTM1	LOC702912	MAMU.A	ZNF189	RGS6	FANCG	RNF219	STX10	IPCEF1	DOK5	ECHDC3	LACE1	LOC100428731	TLN1	GRM2	RAB23	HNRNPA2B1	OMD	TRMT11	PSMD10	ZSCAN12	FAAH2	LCA5L	LOC708128	LOC700587	CNPY3	SDHAF1	LOC713398	NAA15	LOC100430640	SLC39A7	UCK2	RANBP6
ACTA2	GNG7	RFX7	C20H16orf5	ZNF385A	C11H12orf56	LOC706527	FAM131A	NHLRC1	CCDC122	VPRBP	EVI5L	DICER1	LOC710252	USP14	ASNS	RBM22	OSBPL3	ZNF295	LOC708454	AKAP9	LSM4	SF3A1	LOC713616	CECR5	PIGU	RNF208	S1PR5	INO80D	COMMD5	CCT4	LOC100425369	ANKRD45	LOC699921	CPSF3L	SLC7A4	GNAI3	CD276	POLB	LOC699295
LOC714601	EHBP1	NCOA6	TRIM13	LOC717477	L1CAM	MURC	FIP1L1	GALNTL6	LOC713951	PIGK	LOC722727	C3H7orf26	PAK1IP1	KBTBD2	SYNGR3	BAZ1A	LOC700270	TFEC	PPP1R16A	SLC5A3	LOC694878	C13orf26	TOM1	HIVEP1	LEPRE1	GPATCH2	HINT2	ZCCHC2	CTTN	MED30	MTF2	PICK1	STAT1	NREP	ZNF365	CEP57L1	ARHGAP4	STX6	ELOVL3
LOC721744	LPCAT3	SLC25A39	LOC697961	LOC701903	SLC5A2	HNT	ATR	NUP214	LOC721584	CDCA2	MBOAT2	ARHGAP18	DCAF17	TRMT2A	SLC6A1	GJC2	TNFSF11	OSBPL1A	TIAM1	KLHL12	LOC694819	KCNE1	PECR	ZBTB44	TSPAN15	TRIM3	C11H12orf56	SFXN2	HDLBP	LOC701722	LOC718628	ORC6L	GALNT2	TMEM115	TMEM30A	SYNGR2	RAE1	VAMP3	LOC100425691
HPCAL1	TNNI3	SRI	CLCNKA	RBM25	LOC719750	LOC100426334	HIST1H3D	ZNF646	DIAPH2	ANAPC15	LOC717315	MNS1	LOC709140	PRR3	KRI1	TTC30A	LOC713191	KREMEN1	LOC100429735	LOC701620	LMAN2L	LOC722762	TMCC2	NEK6	LOC716601	LOC711421	SIGLEC11	LOC718145	EIF4E	LOC702906	HIST1H2AK	LOC696884	KIDINS220	LOC100429692	LOC100423390	LOC716237	TCTE1	SH2B2	LOC696008
MAP2K3	TTBK2	C10H22orf28	LOC100426971	C2CD4C	ERBB4	LOC693629	SDCCAG8	LOC715942	LOC705402	RPL37A	LOC722026	HSPG2	SMTNL1	SLC19A3	THOC3	NKD1	C4H6orf62	LOC717186	TWIST1	C4H6orf47	LRRC55	GTF3C1	HAPLN1	NUP155	SNRPD1	FAM196A	L2HGDH	RBM33	TTC21A	EPB41	TERF2IP	POC1A	KCNK3	DPAGT1	IMMP1L	GTF2E1	NUP210	LOC693974	SS18
KCNA5	RPP21	EXOSC5	LOC710110	CUL2	QSER1	LOC700034	TEX11	ZNF337	POLR2F	FXR2	LOC100430621	ZRANB1	FAM78B	OVOL1	STT3B	POC1A	KRI1	CD69	LDOC1L	TRAF2	CHRNB1	MOV10	LOC703022	SLC10A4	ANXA5	FBXL13	SGCB	PELI2	SLC22A16	MRPS36	CHRD	KHSRP	SLC25A15	ACO2	LEPR	EPS8L1	C16H17orf80	LOC714408	GPR172A
PEX11A	XPO7	LIMS1	FAM120B	LOC710209	LOC708030	GART	LOC698527	LOC100425749	PROS1	NFE2L1	CHMP5	RNF146	PARP2	LOC699003	LOC714688	LOC701978	ATP2A3	MAPK10	LOC100425402	KBTBD8	SIVA1	AGFG1	LOC715110	NHEDC2	CLP1	PRDM4	LOC705352	ZHX1	UFSP1	EEF1E1	RAP2A	CLEC1A	TMEM121	MPV17	ARHGEF33	ERGIC1	FSCN2	APC2	PACS1
STOX2	F5	EXOSC10	SSR3	CCT8	UBTD1	ST3GAL2	LOC717024	RNF115	DDX50	LOC715338	P2RX4	ABHD12B	LPAR2	PAK1IP1	ARHGAP26	ALDH18A1	LOC703889	INTS6	INVS	ACTN4	RPS19BP1	CCDC130	TSPAN17	PTPN23	KCNK9	LPAR4	ELFN1	NEK6	DHODH	LOC100429666	PNLIP	ADAMTS5	LIN9	LOC716252	NELL2	LOC705288	ALMS1	LOC695392	MAP3K12
LOC100427632	ITPA	ZBTB40	GNG7	LOC100426875	CCDC120	DISP1	CTNNA2	CLEC4A	KCTD9	HEATR2	LIN9	TRAPPC6A	ZMYM6	LOC100427660	LOC695722	SEC16B	CLDN2	LOC715923	MZF1	CCDC142	GALNTL1	BTNL8	LOC706090	CHST15	LONRF2	FRA10AC1	SRSF6	ZNF267	LOC718467	PSIP1	MS4A8B	FLRT3	PMS1	HTR4	H6PD	SEZ6L	LOC717055	DYNC1LI1	EDIL3
LOC100424943	SH3GL2	LOC716785	LOC100429782	ARRDC4	THAP1	COL14A1	RBBP8	CRTAP	TSACC	CD86	TTC17	LURAP1	SLC16A8	LOC711817	LSM7	LOC100425149	LOC712600	TGFB1I1	LOC714026	C1QL3	GINS2	LOC699276	LOC100430128	HIF3A	RPL22	ST8SIA1	MTDH	PPWD1	DHRS11	LOC722617	KRT34	LOC698787	FAM86A	LOC699046	MARCKS	RCN2	MRPL38	MYD88	RLBP1
TNNI3K	GNG5	AP3B1	TMEM59	NDUFAB1	JUP	LOC699119	C13H2orf15	STMN2	LOC702025	SRRM4	TMEM50B	LOC711038	EHHADH	PPM1D	LOC713358	ARID2	EXOSC9	DNAL4	DCX	ZNF643	ENKD1	NDUFB6	LOC718372	KDELR2	TMED4	PDE7B	LOC714010	SARS	CTCF	VAMP5	NKX2.1	CD6	ABLIM3	FUK	SEPT11	C7H14orf166	REPS1	KIF1A	LOC694018
ARSJ	IMP4	CTDSP1	CTNNA1	LOC709782	PCDH15	MED14	LOC709710	STMN1	ARHGEF33	COG2	ZNF274	BCL7A	LIPG	LOC715892	CGRRF1	PMPCB	TAL2	THTPA	PHF21A	ZFAND2A	CDC42BPG	NAP1L4	LOC713468	ERC2	RPRM	LOC716986	LOC721848	TIPARP	CEND1	METTL11A	GABRA1	TMEM147	DDB2	RGL2	PEX2	CENPE	LOC712098	HSPB1	LOC712354
MTA2	LOC709186	STIM1	ZNF16	THEMIS2	EIF4G2	LGR5	LOC710554	LRFN3	RPS6KB1	MPHOSPH9	LOC709331	C20H16orf72	KRT12	PDLIM7	KIF14	DLK2	AIFM1	H2AFZ	LOC713561	LRFN5	ZHX3	LOC717241	SOX2	LOC714325	SNX12	LOC713877	MUTED	MARCH3	HSPB3	LOC697718	TFDP1	TRIM45	LOC100425713	NIT1	LOC694906	LOC712904	LOC714741	VPS33B	FREM2
ARL15	GDE1	PLXNB2	CABLES2	LOC720427	ZBTB34	BTBD1	LOC694029	DEF8	LOC705622	ZCCHC17	LOC702903	ZDHHC17	AP3M1	LOC696564	LOC706977	LOC100425019	NT5DC2	ADAMTS8	BCL11B	CLYBL	PPIF	IGFBP7	RUVBL1	PIK3CG	FOS	LOC100425369	ISCA2	ARL6	TSACC	SENP8	LOC721106	LOC100431090	POLQ	HBQ1	HSPA4L	SNAP29	CAPG	SNX17	IDS
COQ7	TSFM	GDPD2	PRRT1	LOC721004	BBS10	XPO6	PRKAR2B	CNR1	TPCN1	MZF1	SLC4A1AP	LOC700257	LOC718902	FAM120B	LOC100426338	GALNT6	DMXL1	CDKL1	SLC39A10	GORASP1	MEGF9	PLA2G3	LAT	VPS8	LOC100429784	ZDHHC14	SOX6	LOC700879	DLK1	C5H4orf27	ZNF214	LOC100423251	LOC710156	DLGAP1	SORL1	PRKCA	CFB	MAGEE2	EPHA2
LOC709969	ART5	LOC711524	LOC707675	ABCC5	GPR116	POLR3A	TST	GNA11	LOC713971	FAM133B	LOC722491	LOC721694	EIF3L	DPYSL3	AHI1	RSG1	SLCO4A1	ICAM2	TLN1	CTDP1	C11H12orf52	C5H4orf43	UHRF1BP1	PKIA	IPMK	RAB14	DNAL4	C18orf10	RNF38	UBE4B	FAM172A	ABI1	A2M	LOC718666	AKAP11	ALMS1	ZNF622	TRIM66	TRAPPC10
LOC719551	TBRG1	SMS	NUP54	ZNF248	PHACTR1	NFIX	RWDD1	LOC709077	HAVCR1	TMEM208	RFC1	TCP11L1	GOSR1	PPIG	MPP5	LOC696437	LOC100426413	CYTH4	CCDC130	GATA3	INTS5	HNRNPA0	PWP2	AKR7A3	TNFRSF25	DUSP4	ARHGEF40	CREBZF	SART3	KLF12	LOC714372	PITPNM1	NETO1	TCTN1	ATXN7L1	ZNF576	ERH	CCDC8	LOC719021
GPR172A	TYW3	TRAPPC6B	LOC698552	CSGALNACT1	LOC715758	NUBP1	RFWD2	ABHD4	LGR5	USP31	C14H11orf31	NUAK1	CACNA1F	PIGW	C18H18orf22	TBX19	MYLIP	LOC709290	PSMG2	EIF2S2	LOC715526	LOC708114	TRA2B	ADD2	CLEC14A	EMX1	CCAR1	NOTCH4	GLIPR2	TBRG4	RBFOX2	LOC713854	CHAC2	LOC722244	TTLL12	OLFM1	LOC695259	DNAJC12	ATF6B
JARID2	XPO6	CCT8	TMEM107	SLC16A8	KRTDAP	LOC707650	CREM	DRAP1	GGACT	LOC714658	PFDN6	IDH3B	C19orf22	CTAGE5	FGF13	SERPINI2	UBTD1	RPS27L	PCOLCE	EFCAB11	LOC714966	CTDP1	C2H3orf18	TPST1	PLXNA1	C18H18orf34	MED22	ARX	RAB38	AMPH	TCTE1	EMX1	LOC713250	MED25	AZIN1	PDCD2L	EXOSC9	UBE2O	SMYD5
FBXL6	UBE2V2	PHF16	SREBF1	MTF2	LY96	MLL	LOC100424549	SCG2	CCDC3	PGRMC1	TELO2	OBFC1	LOC700034	NUDT21	AATK	THAP9	COL18A1	CCNA1	TIGD7	LOC700768	PPP2R3C	MAT2A	RIBC1	LOC712599	BCAT1	RNASEH1	MAPK6	INTS7	SLC6A17	LPAR5	LOC696987	FLYWCH1	LOC715247	CHST1	EHBP1	SRR	LOC718598	ANKRD40	LOC698291
TRIM27	RGS22	FAM174A	ACSS1	MOB3B	LOC703713	LOC698413	NBN	LOC698941	FBXO31	CTDSP2	PDE9A2	LOC722784	TMEM170A	FNTB	UBE2L3	LOC100427283	LOC715354	ADRBK1	JRK	MCF2L	DOK4	TMEM106B	PIGO	PABPC5	FAM49B	MRPL34	ZNF524	LOC100426875	CDK5RAP1	VIMP	LOC721848	BEST3	MVD	ZNF395	WIPF3	LOC695027	JUNB	NFKBIZ	NUP107
RNF214	EEF1B2	EHBP1	ZNF668	EPS8L1	BCDIN3D	LOC708539	MRPL13	MAPT	LOC716130	POPDC2	NLRX1	OLAH	LOC100426050	LOC694190	LOC712107	ERG	LOC720779	MYO18B	STK4	CYLD	RSC1A1	LOC706419	FRG1	POLA1	CUEDC2	LOC709344	GABRE	NDUFB5	LOC705720	LMBR1L	LOC713572	TAZ	BIRC2	LOC710911	TRIM37	PAIP1	STXBP3	RRP7A	LOC700799
C3H21orf91	LOC100426828	PIAS4	RTP2	TONSL	LOC704076	AMIGO2	PNPO	SERPINE2	ZNF93	THOC1	LOC717189	CMTM8	TMX4	HS3ST5	CDK5	INPP5E	KIN	FDXR	PPP1R11	UBE3B	LOC693664	LOC704147	LOC695815	PCDHB15	HEXIM1	PON2	LOC100427231	TLK2	EP400	EIF2C1	EXT2	TRAF4	EIF3J	MAP6	LOC709616	PAM16	LRRTM4	PROCA1	HCFC2
FZR1	LOC719242	UBR7	MB21D2	GAS2	KIAA2026	CPSF3L	TRPC7	MYCL1	GLRX3	PCDHB15	ZNF829	LOC713540	RAET1E	LOC697390	SPRY4	UBLCP1	SPAST	AQP8	PLXNB1	USP7	RPRML	ZCCHC6	CSPG4	ZHX1	C3AR1	C15H9orf24	LOC721815	TBCEL	DYNC1I2	MAP7D3	INSIG2	LOC712439	PHF6	MFSD3	LOC708399	CCDC181	DENND2C	LOC712701	CYLD
ZNF831	FBXO4	POMT2	RNF113A	GTDC1	ADAMTS20	CACNA2D2	HYDIN	LOC722026	LOC719721	RSPRY1	KNTC1	TMBIM6	LOC711865	ADC	NFASC	RAD9A	HAAO	DCAF10	SYT11	LOC718376	LOC702903	PIGY	TGFBR1	DHX37	PLEKHG3	NUDT17	RPAP3	LOC696739	ZNF20	SOST	AMPD3	TLE3	DLGAP1	RABAC1	DNAJC24	LOC714302	CEP72	ZHX3	LOC714372
LOC716903	MAPK8	KIF13A	KIF18A	HNRNPC	DOHH	PTPN23	AGAP1	MLLT6	ETFB	LOC713905	LOC712931	NOMO1	LOC722266	CPEB1	UPRT	ATXN2L	VRK1	CHTF18	ATP5H	LOC722182	RAE1	LOC100425854	FRYL	ARID3B	LOC695662	RASSF7	MSH5	LOC708858	ZNF436	RAD50	DHRS7B	KCNE1	CIB2	LOC720986	PHF16	COG5	NAPSA	NAA35	YWHAZ
LOC716433	MRPL51	ZMYM3	RABL3	LOC707904	SNAPC3	RHBDF2	SCTR	ELMO2	CD86	LOC100430016	LOC722182	BCAT1	LOC714530	TTC15	LOC718457	EXOC6	GPR37L1	ZC4H2	CD53	ZYX	LOC721973	LOC100430802	LOC100425394	ETV4	LOC100426828	MYBL2	LOC706801	TRIM6	GHRH	LOC706090	LOC100424180	LOC698649	KBTBD7	MAMU.DMA	NUDT12	SLC4A8	OSBPL11	UBXN7	KCNJ2
LOC719331	NARFL	CHRNA5	SYT3	SERPINB12	MOGAT1	LOC707463	GRIN2C	RFC3	SEL1L3	LOC708293	KDM4D	UCK1	LOC716998	PLK3	ATRX	ZNF643	ZIC2	GPR160	TRMT11	PHB	TLE3	HMHA1	LOC708927	WBP5	LRP3	DARS2	LOC721178	SESN3	TMEM8B	C7H14orf1	ARRDC2	TRIM21	TNNT1	PDE6B	LOC100429784	FXR1	PELI2	LOC698292	COPZ1
C14H11orf9	AKAP8	FKBPL	GLDC	MAPKSP1	LOC716833	UNC5D	FSCN2	DEDD	GLIS3	NDUFS5	STX18	IPO9	ZFP64	LOC100426375	STK11	LOC100424604	PRPF38B	CD244	DYNC1I2	ZNF789	COMMD10	CAMSAP1	LOC721854	IQGAP3	ATP6AP2	LOC722786	SLC10A3	LOC100424943	ACTL6B	LOC711038	LOC713336	FMO4	C7H14orf28	GNG5	ZNF704	LOC711043	DPM2	LOC711412	ZBTB25
HSF1	SGPP2	PHOSPHO2	RPAP1	CEP78	PHF6	SLC5A6	LRRC6	CYSLTR1	ACSM1	CPT2	LOC697961	RNF115	ZBTB5	FYCO1	WDR37	AP4S1	EGR3	CD86	ZNF23	CASC3	ATG16L1	CCDC82	MSH6	FUT9	CLEC16A	LOC715092	LOC721516	CD5	RBM10	G6PD	LOC714789	LOC713878	LOC702847	SLC45A1	LOC703140	IMPAD1	NAT2	LCP1	DNAJB6
LOC708982	LOC100423589	PRMT2	LOC714084	THAP5	CLRN1	KCNJ5	KIFC1	LOC715688	UBFD1	PCOLCE	TSR2	ADIPOR1	LOC715438	TFAM	NFAT5	NUFIP1	LOC719201	VPS45	ZNF410	LOC694125	CBR1	RAB27A	LOC710253	LOC708909	IPO9	C16H17orf70	LOC707601	LOC715440	LOC705624	BTRC	ZHX1	SRSF3	MFSD2A	PGM5	LOC100430437	POPDC2	SAR1B	WHSC2	LOC717690
TMEM179B	ZNF622	SPEG	CNPY3	PRDX1	LOC705877	LOC712994	CCDC167	ETNK1	LOC716408	ZNF583	LOC706539	COL4A2	HS3ST3A1	ABCC10	NFIX	LOC721829	LOC721508	ITGA6	CCDC59	GEN1	INPP5B	TMEM102	ATF7IP	GALC	DNASE1L2	MCM5	LOC707235	NEIL3	GPR21	PAPOLA	ZC3H4	LOC100426729	PPP1R2	DNM2	TBC1D24	PIGT	SURF1	TMEM245	BTBD3
MSC	POLB	LIN52	CLU	LOC706521	LOC715728	PIGO	LOC697961	LOC715257	PRKCSH	BRS3	SLC1A4	LOC694819	LOC716633	FTSJ3	ARFGEF1	LOC715257	PAX6	ACN9	GJC1	PRKAA2	COQ6	WHSC1L1	SLC2A3	FAM136A	PTPN21	ZC4H2	ELP3	DNASE1L1	COX7AH	GPR12	ENOX1	LOC721694	ALAS1	SLC7A9	LOC100426535	DENND4A	CKMT2	TPH1	BAZ1B
CNKSR3	RECQL5	SIRT5	PREX1	ELP4	ASPHD2	ITPA	ST3GAL2	TMEM40	FKBPL	PLK3	SLC44A3	SOX9	TAF12	ANXA5	CBLN2	LOC697236	MSL1	RB1CC1	PAAF1	CARS	USP6NL	RPS13	SYT4	MICAL1	FAM131A	PLEKHO1	KLK8	GOLGA4	ME3	CSNK1A1	ZBTB34	ABCC13	ASCL1	EMD	TMEM216	RSRC1	LOC709710	TDRKH	PHF20
RET	PLK1	ZW10	CBFA2T3	LOC715695	LOC718777	RNF182	LOC714244	LOC720298	LOC710999	BTBD7	ZNF697	COG2	TCTE1	CACNA2D2	BMPR2	LOC711421	NUP50	LOC705941	LOC718825	LOC722786	VWF	COG8	VPS54	ZNF408	LOC715436	GLTPD1	CCDC9	HINT3	LOC708552	MAP3K7	PRKAA1	LOC718339	ARL6IP1	LOC695599	LOC715993	ATXN7L1	NFRKB	LOC714800	LOC709587
TRAF2	LOC697850	LOC717276	PDCD2L	MRGPRF	LOC717832	PCDHB13	TMEM74	MLL4	MTM1	CERK	TOP3B	LOC100428557	CRYBA4	INTS5	DENND1A	SOLH	LOC708067	HYAL2	KLF11	CSGALNACT2	LOC720288	LOC694125	ARHGEF16	TH	LBR	DLGAP3	MAGOHB	LHX6	GMDS	MED1	LOC100425803	SNX15	LOC717103	LOC697009	F2RL2	FAM126A	RPS5	GLT25D2	PGAM5
BAIAP3	CDC42BPG	PACSIN2	DCTN2	LOC721291	NVL	BTN3A3	UBE2O	SETDB1	LOC693501	NOL4	CD151	TH1L	GALNT10	RNF19B	TDRD6	PAXIP1	PIM1	LOC696475	LOC707493	DRAXIN	LOC705659	LOC702071	TM6SF2	JOSD1	PRPF40A	HTRA3	ADAMTS9	KDM5C	TMEM11	LOC702107	TIMP2	LOC716319	BTC	LOC694640	OXCT1	LOC696253	SNRK	GTF2E1	LOC706281
LOC702153	HJURP	CDK5RAP1	SLC7A6OS	TTR	NARG2	LOC701185	CHST9	RNF150	OPN5	CCNJ	KIF5C	ATP8A2	LOC697020	KIAA2026	IGBP1	PIGS	LOC713797	ARRDC4	CGGBP1	RNF103	SLC9A8	DDX52	LOC698527	DCAF11	PDPR	LOC700335	PIGG	KDM1B	FAM196A	IQCB1	AFF2	DBF4	LOC713845	APTX	SRFBP1	IGF2BP3	HEATR5B	TMEM14D	SHC1
MET	ZNF643	ATP8A2	LOC721854	GATA6	CLDN1	ACVR1	LOC703498	TRIM10	LOC700580	HNRNPL	RNF31	CHCHD3	C2CD4C	WBSCR16	LOC718520	GPR176	CDCA3	LOC721723	ALKBH7	FAM190B	TOP2A	ENC1	BACH2	LOC722244	SOX2	KCNJ13	EIF2AK3	INA	LOC705639	LOXL3	AAMDC	MTA2	LOC704750	FAM120B	CKS2	EBNA1BP2	C13H2orf44	CDK12	CENPK
TGS1	LOC704161	ENO1	EFTUD1	LOC708730	ATP5E	SLCO1C1	LOC693737	SRPK3	CYP19A1	SAT1	QTRTD1	LOC716860	ABCC12	ATPIF1	CCDC109B	TMEM14C	SYT16	EXT1	OSBPL11	CORO2B	SF3B5	TMEM70	RNH1	HSPBAP1	LOC718472	PRDX6	BNIP1	LOC706532	LOC100429692	LOC722073	RAP2B	LOC713391	PRPSAP2	DUSP22	LOC696076	INTS10	VLDLR	CD81	LOC700587
TRMU	ATPAF2	MCM8	GTF2H5	SF3B14	KLHL34	CHST8	EXD2	MAP7D1	RPS15	CEP57	RAB11FIP4	AP3B2	C4H6orf228	PRKCA	IKZF4	LOC712439	LRCH2	KCNV1	RALGAPA1	MADD	BCCIP	STMN1	NCAM1	LOC693599	MFAP3L	METTL18	ECI2	HHEX	SMAD6	FGD4	AK2	RNH1	LOC100428667	MTMR14	ARFIP1	DNA2	LOC716572	TRIM32	ASF1A
CHRDL2	ABCA9	LOC719555	POLD1	LOC713262	MSTN	ILF3	VSTM2A	VPS33B	SLC19A2	LOC710786	LOC709695	LOC719774	SNX5	LOC100426426	HECA	LOC712033	SERPINB7	CYP2R1	MLL4	UBA3	STK39	PPP1CC	MAGED4B	EMX1	MINPP1	FOXC1	TMX3	RPP25L	PTPRR	STC1	LOC693476	LOC100426593	PAQR7	MKNK1	SOX5	TMEM27	MRPS9	ATP13A1	LOC100423804
CMTM5	RAB3A	RAPGEF1	CDC16	RNF175	THNSL1	ZNF282	ZNF430	PNMT	B4GALT6	WBP1L	SRRM5	LOC716586	LOC718472	LOC720310	DDX39B	DSCAML1	AGER	AKAP11	LOC695156	NADSYN1	ISCA2	ZNF430	LOC720034	PLCXD3	LOC707831	PPEF1	MAMU.DPA	BTBD7	LOC709463	MTMR11	NDNF	MAMU.DRB5	VWA5A	MDM1	SLC7A13	PIAS3	SETDB1	ARPM1	C7orf36
SRSF9	CPXM1	PDGFRL	PTDSS2	C7orf36	DLK1	MAD2L2	PSMA4	LOC708751	LOC706801	LOC697604	WNK2	LRRC16B	IQUB	MTA2	LOC706392	LOC708909	KIF3A	NSF	LOC710338	KIRREL	RHOC	NELL2	LOC100423251	CIP29	ATP5G1	RNASEH2A	SERPINF2	NSG1	LGI2	LOC100429676	FAM13B	SLC12A9	RPL38	LOC709821	LOC703685	COL15A1	SYK	MAP2K1	SIAH2
ADCK4	MLL	BIRC2	LOC718374	SPG20	KCNH8	OSBPL5	IGF2BP3	TRMT5	MANSC1	WDR3	CRLF3	ZBTB39	ITPR1	CCDC147	SLC7A6OS	HIST2H2AC	PAQR7	TMEM43	LOC703722	TMEM101	CXXC5	LOC711526	RNF169	MAD2L2	LOC722577	AKAP13	PCNA	LOC713975	IFRD1	LOC719315	MUC15	ITGB1BP2	PAPSS2	GOLGA3	LOC722157	FBXL14	KLC1	OSGEPL1	SYCE1
PPP1CB	LOC708068	PRPF19	PLXDC1	LOC100430802	LOC713344	LPCAT3	CYB5R4	TMEM9	ZNF595	ABCB7	COMMD9	CMC1	FAM49B	FRS3	LOC722173	PHYH	LOC719662	C11H12orf73	FBXO44	PHF14	LOC100427654	DDX21	LOC100423493	CHST11	LOC700799	STAC2	FNTA	RFXANK	LRTM2	CXCL17	BTG3	LOC713468	GPR19	ZNF324B	LOC707289	MAP2K5	LOC711803	STAU2	LOC694815
GALNT4	LOC100428557	TTC17	MKKS	COMMD3	LOC722223	ZNF202	SNRNP27	SLC7A3	EIF3M	VMO1	MRPS34	FAM123C	PSTPIP2	LOC696169	PARD3	TRAF2	GRIK1	LOC711199	KIF13A	SLC16A5	LOC695495	MED16	DGKH	PHF17	LOC701554	TYRP1	LOC706007	RNF25	ZC3H13	LRRC8D	ORC1	ZC3H14	ZHX1	PRELID1	GLIS3	GALNT4	RNF146	CACNA1B	KIN
LOC717291	SHMT2	MDN1	PTAR1	LOC714785	ENHO	CD1D	MCART1	LOC718873	LZTS1	QSOX1	LASP1	LOC720327	TFCP2	LOC703053	LOC716453	GAPVD1	TMEFF2	LOC100429858	LOC711448	TPR	SCAMP5	DNAJC6	STX5	SCAF4	ITPR2	ZNF732	CLTCL1	GEMIN5	PCDHAC2	LOC100426426	ANAPC4	TICAM1	MTDH	CDH22	GUCY1B3	PGBD1	RASSF4	GPR126	TBR1
