E80_L1	E80_L2_3	E80_L4	E80_L5	E80_L6	E80_WM	E90_L1	E90_L2_3	E90_L4	E90_L5	E90_L6	E90_WM	E120_L1	E120_L2_3	E120_L4	E120_L5	E120_L6	E120_WM	0M_L1	0M_L2_3	0M_L4	0M_L5	0M_L6	0M_WM	3M_L1	3M_L2_3	3M_L4	3M_L5	3M_L6	3M_WM	12M_L1	12M_L2_3	12M_L4	12M_L5	12M_L6	12M_WM	48M_L1	48M_L2_3	48M_L4	48M_L5	48M_L6	48M_WM
MAML3	ST8SIA5	CH25H	MAN1B1	MAPKAP1	SMUG1	LOC714485	PROM1	C5AR1	SRSF4	LOC719959	HINT2	LOC711229	LOC718989	GLCE	RPP25L	SH3RF2	LOC714564	LOC698292	CHD2	NOSTRIN	MATN4	OBFC1	CKAP5	LOC100424287	DNASE1L2	SCARB2	LOC701932	USP8	F8A1	LOC710350	CTSC	LOC100424521	ULK2	TSPAN12	HOXA2	LOC716567	ANAPC16	LOC706858	HEATR1	BCO2	TBRG4
CACUL1	CCDC151	IL15	CRTC2	NDUFS1	SOLH	TIMM17A	LOC711340	DDX56	TOX3	LRP8	ATP13A1	CRIP3	MRPS33	PRRC2A	TRMT2B	FYB	ZNF532	TMED9	FAM53C	NOD1	C5H4orf46	STT3A	FCGR2A	LOC710844	FAM120B	LOC100425016	TTC21A	LOC716130	LOC695023	CCT8	PECR	LOC714684	FOXJ1	LOC100423625	LOC708204	SERPINB5	ATP9B	RGS10	TMTC2	ABHD14A	ACTN2
PDE3A	NRTN	MCHR1	AQP7	ZNF408	UEVLD	MYSM1	RAD51L1	AVPR2	MRPS11	LOC693974	POSTN	ZNF430	LOC713561	LOC707753	MUL1	SPNS1	SIKE1	GPR162	BCORL1	LIPI	LOC712757	NEU4	LOC708409	WHAMM	CPSF2	SLC15A4	IFNAR2	CABP4	LOC100425851	HAX1	LOC100425286	NIPBL	LOC721938	SC5DL	DCK	KCNS3	XPA	TRIM33	NKD1	CATSPERG	HSD11B1
AGFG1	LOC708335	ZNF84	MYH10	SOD1	CMC1	MEIG1	F11	LOC709453	LOC711299	MYST1	CAV2	VPS54	ABO	TMC4	CENPI	XG	ADCY5	GABRA4	VWA5B1	KDELC2	PI16	LIMS2	ADAMTS19	THOC4	LOC100425879	MST1	PRDX1	DDX47	RRAGA	H2AFZ	LOC718374	LOC712272	COPS5	TAF9B	PDE1A	BTF3	LOC709015	LOC714577	SNX1	SFXN2	AKAP2
C15H9orf85	LOC701314	SPATA24	SPCS3	LOC722182	RNF111	LOC721611	FHOD1	LMO2	BTBD11	HAGH	PNKD	ABCC12	LOC711087	LOC714721	RNF138	LOC699046	ADIPOR1	LOC712485	KLF11	LOC716916	LOC716916	DAP	MAML3	LOC693800	BCAP31	DOCK6	PIPOX	NDUFA4L2	TSHZ3	KLHDC3	SLC25A39	PPM1D	PON3	CD38	IRF6	FREM3	SFMBT2	LOC699327	LOC698283	LOC714372	LOC715072
VPS13B	LOC716868	E2F1	ARHGAP4	DHRS11	LOC722173	LOC708564	ZNF655	ZNF217	LOC697267	PQBP1	LOC719082	GFRAL	CCR10	ZDHHC2	STRADA	FAM118B	OLFM2	LOC100426570	LOC700603	ZNF536	RICTOR	WRAP53	DONSON	FOXK2	C7H14orf2	ZNF805	UBN2	ZNF182	COL24A1	ADAMTS3	SHH	LOC709520	ZNF536	LOC716305	WRAP53	ALG3	RND2	ENPP2	PTHLH	MMS22L	LOC100429275
LOC700799	ENKD1	TMCC2	LOC709314	ABCB4	SLC5A6	LPA	HPCA	LOC710328	LOC712594	METTL6	LOC100427470	PIGS	DHRS4	GPR173	ADHFE1	LOC713715	ZFP1	LOC716483	PPP1R3D	LOC716331	TMEM63A	SCIN	RASL10A	ATRX	PAIP1	ACTG2	AKTIP	SMU1	KRAS	VPS13B	KIAA1324L	MEIS1	ARFGEF1	ZNFX1	TRIM11	ELOF1	RPL23	TAF7L	LOC710534	IRF2BP1	C3H21orf33
PDXK	SNX8	LOC700414	IL6R	DNLZ	RBM23	TSSC4	RECQL5	FGF7	FRAT2	SLC29A3	LOC711021	TMEM107	TYSND1	FAM76A	KCTD21	LOC100428589	TRMT1L	BARHL2	LOC719116	GLTSCR2	LOC706574	LOC719357	LOC714174	LMNB1	TUBB2C	LOC713684	ARGLU1	SEMA3F	HPCAL1	CEP72	NCAPG	LOC713138	LPAR5	SMC1A	MATN3	FOXK2	USP3	DHCR24	LZTS2	TMEM108	RRP1
TLL2	TPX2	THAP9	LOC712092	LOC694702	GTF2E2	TGFBRAP1	LOC100429055	THOC4	PAM16	ZNF280C	LETM1	CTLA4	UPP1	SV2B	LOC723071	UBA7	SHROOM3	TEKT1	EIF3F	YIF1A	DNAJB9	RAB39	ING1	CHRDL2	LOC722155	CYHR1	DARS	MEX3B	CLIC6	C19orf56	LOC708564	CRIP1	LOC709699	HMOX1	FXN	ZSCAN12	ARNT	SEMA4B	TPR	CBFB	MYL6B
OGFRL1	FAM162B	HECTD2	GCN1L1	CREG2	ARHGEF5	SART3	BICD2	PLXNB1	ECI1	NPHP3	TMEM17	PRTG	SH3BGRL	LOC716250	AKNA	TSACC	COL21A1	CACNG3	CTLA4	LOC100428409	LOC700039	LOC721627	CCDC120	CDK2AP2	MAST4	SH3RF3	COMMD9	ATG3	NTNG1	TSTA3	UPB1	CLIC4	LOC706455	TEK	LOC100429104	LOC722516	CREB1	LOC100424882	PPIG	SH2D4A	CHST10
ZNF503	LOC712753	USMG5	CDC14B	COLEC12	C13orf26	BCORL1	LOC701646	ANKS1B	PTEN	ECE2	EIF3D	NPHP3	DOCK6	MPST	PEF1	LOC722104	ITGA2	CTSA	ZEB2	THOC1	SDCCAG8	INPP5B	ILDR2	COBL	BMS1	PLS1	SEC22B	LOC100429858	LOC100430928	ZNF790	CCL2	PTPDC1	DACT2	ZNF662	NRG4	ATXN2L	TMED1	ARHGAP33	DOCK5	POLE2	CHTF8
LOC693820	JPH2	LOC699119	ZNF200	TOR2A	LOC100430860	RASEF	CDCA3	AQP8	ETV4	ROR1	LOC700039	LOC699219	SGSM2	N4BP2	LOC697073	RBM4	CACNA2D2	CYP26A1	TEX264	AGA	RWDD3	CCDC108	NDST3	FLYWCH1	STAT3	RPRML	SESTD1	LOC706585	NOG	DDX20	LOC100430313	LOC100426615	RNASE4	BICD2	IQGAP3	LOC720079	CEP152	DSG2	MIA	CLEC1A	LOC707243
IQCB1	ARHGAP32	AS3MT	USP11	LOC100426317	ZBTB10	PRSS21	RIPK4	FILIP1L	TMEM97	TMEM11	PTGES3	TDRD6	IL4	C15H9orf3	HTT	IRAK1	COQ3	DARC	ST8SIA1	TLE2	CPA5	LOC706210	PIGC	LOC722745	PDGFRA	LOC709331	CSPP1	GRIN2C	TEX11	GIN1	NFKBIB	MCM5	AHCYL2	CEP250	LOC100430420	PPIH	PRKG1	LOC700292	NDRG1	LOC100425545	PRMT5
FRA10AC1	SLC1A3	RNPC3	WBP2	LOC694125	LOC100430281	SF3B3	CRTAP	SEPHS1	LOC707289	LOC716423	ZNF32	RPF1	LOC100427361	GRAMD2	PCBD1	NOL9	LRP11	LOC708043	C15H9orf85	OSGIN2	MMADHC	TICRR	NOS1	GALNT6	FAF1	AHCYL2	TMEM216	LOC100425520	TBC1D13	GHITM	NCOA4	LMO2	ATG4C	NCK1	FRAT2	OCIAD2	ARHGAP33	C3H7orf60	CTU1	SNAP29	HTR3A
VAMP2	POP7	C4H6orf52	LOC695156	PI16	ABCF2	FBXO9	CCDC109B	HPS3	C9H10orf11	RRAGB	ZNF335	LOC698413	LOC722572	TBC1D17	ALB	ABHD4	LRTM2	LYRM2	LOC709630	TGM2	MYOZ3	TMEM150A	DIRAS2	NOL6	SEMA4D	ANXA4	ATP6V1E2	LGALS7	FAT2	E2F7	ZNF592	LCA5L	TMEM27	BET1	LOC721400	COPZ1	LOC708451	ZKSCAN1	PDGFA	LOC717444	LOC709640
LOC703549	GINS2	PHLPP2	NAGK	LOC100424287	FGF14	PARG	FMNL2	LOC714974	LOC699908	F13A1	LOC703443	KLHDC4	LOC696302	TINAGL1	EIF3G	ARFRP1	ODZ2	SLC9A10	HERC6	RDH11	AGXT2L2	LOC697506	ADCK3	TRAPPC6B	RORC	LOC100427804	THSD4	DIO3	ZNF518B	TEKT1	ZC3H12C	STK33	GSN	SETMAR	LOC710693	PIK3C3	LOC710700	SRR	EIF3A	RING1	HEATR7B1
LOC709826	LOC100424162	DEXI	KCND2	MAN2C1	CHMP1A	RGS9	LOC710159	TTC15	COL14A1	LOC695164	LOC714727	USP10	AVIL	BCL3	CDCA3	ZBED3	LOC719305	CRBN	ARHGEF37	LACE1	LOC706967	LOC708267	LOC713433	C5H4orf46	RORA	NCOA4	SP100	PEX1	EXTL1	AP1M1	LOC706857	LOC715676	CRB1	STAMBP	NUAK1	CACUL1	ZFP112	LOC709358	LOC697066	LOC712375	LOC100425161
PPP1R1B	ACPL2	RNF14	NOVA1	LOC713032	TBK1	PPPDE2	MFI2	RPS6KB2	DOCK1	LOC715163	KCNK10	LOC704750	GPN2	IPP	LOC708858	G0S2	JKAMP	ZBTB6	MED22	RAMP2	METTL4	LOC100426047	C13orf36	EP400	COG7	CDON	ATF6	CRISPLD2	COBRA1	AMY2B	FBXO5	LOC708784	MAMU-DMB	SFMBT2	MRPS5	LOC704048	TMEM14B	CNTLN	TMOD4	PCOLCE	LOC721772
SESTD1	ANKHD1	ZNF384	ZNF664	TMEM14B	LOC709826	ZFP91	TMF1	MSH3	PHTF1	LOC713847	CDC5L	HEATR7B1	CBX7	LHPP	CLYBL	LOC712923	EFNA3	PSMD4	GPR180	VIMP	KLHDC1	GPR143	ANKH	LOC100425831	REL	C5orf35	LOC693481	TSEN54	CCDC151	ERCC1	NPY2R	SNRPA	LOC712238	NPSR1	CDCP1	PREPL	LOC100429988	CRB3	MDM2	PRRC2A	MAPT
LOC100426255	MYLK	CMSS1	VAMP3	C4H6orf211	WDR17	FKBP2	TMEM2	TTC30B	LRRC41	ADORA2A	PPT1	WNT4	RAB5C	LOC717040	LOC100425533	CRYBG3	LOC694313	KDM5A	DRG2	MESP1	COPZ2	CEP110	LOC694823	S1PR5	MAMU-DPB	LOC100427470	ASB2	SNX18	FST	FGF12	ANAPC16	DOK1	LOC696302	NR2F1	ATP5L	ACTN4	WDSUB1	LOC713854	LOC697009	TIGD4	LOC698322
NUP153	LOC100425520	RAB27B	EXOC5	BOLA2	KLHL22	ST7	CTLA4	LOC708929	EMC1	TRAFD1	C10H22orf28	FNDC1	GATSL2	FRYL	LOC719257	HFE	ABLIM2	PLD3	CAPSL	LOC705533	LOC695843	PEA15	THBS1	FBXO38	AIM1	CSGALNACT1	HSPB1	ZNF347	LOC718901	HLTF	NDRG1	ESR1	LOC707118	LOC722098	LOC712710	PFAS	PPP4R1	LOC706833	S100A1	LOC696998	DLAT
SVOP	MEGF10	OIP5	THOC6	DRD4	SELP	HAGH	PKP1	USP36	WDR45	URB2	BANF1	ACP2	LOC715436	TPMT	ACCN2	LRRC8B	HOOK2	LRRTM4	LOC711254	LOC100423190	ISM1	LUC7L3	TCEANC2	CENPA	LOC694190	ZFP161	LOC719346	SLC25A21	DEFB1	LOC719766	MAP2K2	CREB3	LLGL1	RGS6	AP1B1	CYC1	DSCAML1	SERTAD3	MRPL51	LOC709140	CBLN1
AHI1	FAM70A	RERG	BMP7	GRIK1	DLST	ELMOD3	LOC713029	MYH8	LOC721991	EDNRB	DDX21	DCTN4	ATP2C1	COPE	DMXL1	FOXN4	TMCC2	VPS4B	LOC710527	LOC718173	SH2B3	HYAL2	ZNF215	LOC701364	BEND3	EMILIN2	ARL11	MGLL	LOC100426724	LOC715752	LOC100430537	RRBP1	SRI	VSTM2L	LOC718015	FAXC	LOC707845	SERPINF2	PUM2	ROGDI	GIGYF1
PDE7A	SYNPR	TPK1	RCN1	C5orf40	TEX264	CDPF1	PTPRK	LOC714595	HAUS6	TM9SF1	LOC703104	LOC717370	CHSY3	PRDM1	CDK14	L2HGDH	ARL14EP	HIST3H2A	USP28	PPP4R1	SLC27A1	LOC100427949	GZMK	TMEFF2	SLC29A3	PREX2	SKP2	LOC712741	DHPS	RWDD1	RNF187	LOC719236	SPCS3	DHX15	PHTF1	SH3GL2	LOC100424767	SIK1	LOC704728	AGBL1	CLCN4
PPIP5K2	TEX9	XPR1	EHHADH	MSL2	COMMD10	GAP43	LOC696056	LOC703515	GSS	N6AMT2	MRPS18C	TDRD7	RNF122	HNRNPF	CCDC92	LOC696302	LOC721901	LOC716686	EGFL7	MECOM	NGFR	ARSF	LOC714447	GALK2	SLC48A1	C13orf36	ZBED1	GBP2	SRPK3	LOC709186	LOC714951	BTBD7	GEN1	GORASP1	LOC712795	RRP1	LOC722627	LOC710236	FZD1	C7H14orf1	LOC696983
UPF2	QARS	LOC719331	MYL6B	FAM222B	MED27	LOC709739	MYO3B	LOC716932	GANAB	TNKS1BP1	ZMYND12	ENTHD1	SCHIP1	LOC100428825	LOC100429776	LOC695816	EPHB1	CLSTN1	LOC697675	LOC699883	RPS27L	MUDENG	BCL9	PDGFA	CLGN	MTA2	LOC100430326	ZNF238	ADCY8	HAS2	HINT2	NUP93	TRAF4	CCDC14	RBM15B	LOC712618	F8	LOC712568	LOC702071	WNK1	LOC709275
ATMIN	LOC100424818	ORC5	CRYBG3	ZKSCAN3	UBE2S	GGCT	ZCCHC7	LOC713590	NUDT5	RANBP6	IWS1	LOC705639	TRMT2B	SP6	PET100	KLK5	CBFA2T2	NPAT	LOC100426279	BRD3	VPS4B	LOC714427	NKRF	LOC716587	LIG3	C8H8orf37	B9D1	PRKAB2	MAP2K6	KCNF1	LOC709463	LOC100424797	ERCC6L	LOC100424963	LOC698649	TRIM54	TSN	PROSER2	LOC707820	TTC21A	L2HGDH
GRIK2	SLC35F3	LOC712795	PPTC7	DHRS1	SLC12A5	DCUN1D3	ARVCF	TSPAN11	CYP3A5	LOC711210	LOC709315	IRF2BPL	ARMCX3	CHI3L1	EGLN3	LOC705512	MAPK6	LOC700308	SLC38A6	SYCE1	C15H9orf89	NRDE2	LOC719343	DLX6	LOC694854	LOC712485	LOC710527	LOC696152	LOC696596	FSCN1	FAM105B	CRYAB	CACNA2D1	TROAP	FAM222B	PLRG1	ETS1	LOC707640	EMILIN2	VLDLR	SGOL1
CBLN3	LOC721581	SLC25A34	WWC2	ZNF740	STOML2	LTB	BTBD7	SULF2	GPR125	IFT52	ARID4B	JUNB	SLC16A4	LOC706007	FRMD8	RGMB	TBC1D19	LOC711012	LOC100423261	ETNK1	ITGB3BP	LOC720329	TMEM50B	LOC699778	LOC701933	FDFT1	RCBTB1	ENPP6	NUP188	DNAJC30	STXBP3	ERBB2IP	DFNB31	LOC710441	NFXL1	LOC713151	LECT1	ANGPT2	MBOAT1	FAM222B	UPP1
SYTL2	LOC712588	EFHD1	ZXDB	EFHD2	EIF3G	SNRK	SLC20A2	SV2C	LOC100425364	NDNF	ADPRHL2	ADAM11	PPM1L	OIP5	IFT74	LSM12	CLSTN3	LOC708733	GTPBP8	SUCO	GNPTAB	TYW1	MAGED2	MLF2	DERL2	LOC717769	FAM126A	COL4A5	ACOT9	SPECC1	LOC697202	CHI3L2	GRB10	KCTD12	FBXO10	VPS18	PPIL4	ECH1	ORAI3	LOC713416	ACSM1
AKT3	UBE2G2	SRP14	ZNF311	LYSMD4	ZNF629	LOC100427307	USP45	RAD51AP1	TLE2	TRAPPC2	CLASP1	TMEM70	LOC706349	LOC716754	ATF1	TJAP1	GBE1	BACE1	NUDT17	LOC698329	NDST4	RASSF6	TSPAN5	NR1I2	TUBD1	FRAS1	CLU	LOC709313	LOC695816	KLC4	SERPINA5	LOC712599	PAMR1	LOC716377	THTPA	N4BP2	GALNT14	LOC713322	NCAN	LOC714309	EP400
LOC100425801	VAX2	ETFA	CHRNA4	SPG21	LOC716377	AATF	FTSJ2	C5H4orf47	BBS9	NFKBIE	AP2A2	NOS1	RGS5	RAB37	CDON	LOC699605	PTPRN	MYBL1	C4BPB	LOC698787	LGMN	COL4A5	PRPF31	LOC712305	LOC713946	SLCO1A2	IL18	EPM2A	TMEM220	ZFYVE27	KCTD18	SPINK5	LOC712753	ADORA3	LOC100426432	ATP6V1C1	TAF12	LOC713797	TPRA1	PAIP2B	RNMTL1
LOC697608	ACAP3	SECISBP2L	RANBP10	HBB	LOC100424952	PHF20L1	ZNF248	NBR1	LIMD1	RUNX2	ZBTB48	RRAGC	MATN3	AGPAT1	ADAM9	PGAP2	AMPD2	LOC694924	NDNF	LOC100426240	SLC18A2	FN1	DMPK	POLH	NKAP	LOC100425173	LOC100426047	CDK4	UBA1	GCC1	ABHD2	IFNGR1	ZHX2	UCK1	LOC706437	SLC25A21	CSE1L	DCP1B	LOC700382	ELMO1	LOC713905
ITGAV	HCN1	LOC697760	SLC32A1	LOC710423	LOC696649	ZNF235	RPS25	C10H20orf132	STC2	PPP4C	ADCY9	LOC714042	SMAD5	FARP2	LOC716670	ZNF732	CDR2	SPRED2	TONSL	AXL	ZC3H11A	N6AMT2	SPPL3	OTOS	CLCN7	LOC695219	ME2	LOC719560	ZNF141	RAPGEF6	VGLL4	SRSF6	LGALS1	RRAS	FCRL3	LOC710350	GSTP1	ARMCX5	RAB32	RGS12	NAT10
LOC707948	LOC719242	CLCN5	FRYL	WT1	COL11A2	XRCC6	ATP2A3	ELP6	SPCS1	RRN3	TMEM209	RAB9B	C20H16orf82	C15H9orf85	MOG	TRMU	PRKDC	LOC714485	LOC706465	MFSD2A	EVC2	P2RY10	LOC718015	RAP2A	LOC715112	REEP4	EEF1G	DBNDD1	ERI3	MAB21L2	LOC100426567	FAM104A	ERMAP	REV3L	SCGN	AGFG1	ZNF691	PLEKHF1	CEP250	SNX30	DCST1
PARS2	LOC695662	TLE2	LOC703896	SEMA4D	ACOX1	LOC708716	NR1I2	LOC716722	G3BP1	LOC714688	BCS1L	TMEM155	KIF24	TFR2	FBXO8	DMRT2	FAM195A	RNF113A	IAPP	PC	LOC100424656	RNF122	LOC696205	LOC100429776	PCSK7	PCDH15	DPYSL5	ALMS1	PHRF1	LOC695023	PTGR2	ACCN3	OLR1	LOC100426426	CNGB1	HELQ	TMEM66	KIF5A	ASB5	BCKDK	EFCAB6
LOC714534	LOC100429791	CLGN	TTC27	SIT1	CCL25	LOC703116	ZC3H12B	RWDD1	LOC717864	C4H6orf62	SDC1	LOC703629	LOC694029	CLGN	KITLG	FMO3	PAPPA	FLYWCH1	CTNNAL1	HMX1	EIF4A3	IL1R2	LOC716888	LOC702912	LOC699276	BEND3	LOC713032	POLE2	PVRL2	MAEL	SLC1A5	CCDC102A	IFITM1	SEC11A	AGRN	SKAP2	GALNT12	FBN1	BOK	CCDC142	CCNI
AHR	MCM3	LOC706500	ANGPT1	HIGD1B	C16H17orf80	PTPLAD1	PFKFB2	STAT3	MB21D2	LOC722786	INTS12	LOC100425156	BDKRB2	DDIT4	LOC695784	NUMA1	BIRC2	PDRG1	PNLIP	EXOSC10	ROPN1B	GJA5	CYB5RL	PCDHB4	LOC709463	MTAP	JMJD1C	RAD21	SBNO1	MRPL13	SSNA1	LOC702439	TMX3	LOC708080	SLC4A11	FAT2	LOC717465	PLXNB1	ZBTB49	MAP4K5	FAM160A2
SNN	BCAS3	LOC100431069	ZNF300	C19orf56	NXF1	OSBPL5	LOC722120	LOC699771	LOC711254	INO80	SLCO4A1	ABTB1	C10H20orf196	CNDP2	LOC717459	TOB2	LOC707295	ACADSB	LOC705985	CST2	BMP7	SLC9A7	RARS	SRP68	PLCG2	EIF2B1	ARF4	SNX5	ZNF831	FAXC	ZNF792	TDP1	TC2N	LOC722266	PHLDA2	NCEH1	DLAT	EXOC6	ANXA4	PLN	GPR155
LOC707601	LOC698077	NUP210	RNF31	LOC100423631	ANKRD53	PJA2	ZNF131	AMBN	SMURF2	TMEM8B	GADD45A	TMED9	GNL1	LOC704395	RNPEP	RAP1B	C8H8orf59	MUC15	FBXL7	EDNRA	LOC703831	LOC702439	LOC703542	RC3H2	SND1	LMCD1	LEPROTL1	SCNM1	AP1M1	SPINK5	SNX30	PREB	MEGF9	BICC1	ZBED4	LOC716195	LOC708798	BAG2	CTBS	TWIST1	ADAMTS6
WT1	CDKL1	ABCC12	KIAA1967	TBC1D10A	ALKBH2	BHLHE22	LOC716703	LOC710423	IL25	CASP7	RMND5A	DCAF5	FBLN5	CACHD1	BRCA1	METTL2A	LOC718376	PSMC5	LOC100424738	ZMYM3	SEMA4B	MMADHC	DSN1	MRPS26	LOC710534	PABPC4	TIGD7	CC2D1B	FOXP4	WDR60	SDPR	EPM2A	KREMEN1	LOC100424943	SH2D4A	FGFR1OP	LOC100425713	KIAA1429	LOC721669	CLMN	VAV2
KLHL26	NEBL	SULF1	LIN52	CLDN6	C1H1orf123	LOC711721	SYNJ1	ITIH2	ARHGAP4	SLC6A6	SFT2D2	LOC710350	C8H8orf4	ELK1	MED15	LOC714309	MEIG1	ZMYND11	LOC722372	LOC708929	PRKX	WDR43	MAP7D1	LOC100429212	LPXN	PIGC	DACT1	RPL27	MRPL15	HS6ST2	ARFRP1	TRPM6	EFCAB7	MAGI1	NPR3	SAMHD1	HOOK3	FOXP2	RBPMS	LOC706883	SST
LOC100426088	SSUH2	LRCH2	TMEM216	ZFPM1	HTR2A	TMEM231	ZFAND1	BIRC3	BANP	MOCOS	ZCCHC17	CAPN14	LOC700257	FAM176A	ABCB4	ALG10B	FGD1	MRPS12	NPAS3	LOC703022	RPL37A	TOE1	SMAP2	PAPPA	PHB2	LOC716377	PLEKHF1	NEDD1	AADAT	FAM196A	MAP2K5	CYTIP	ATP7A	TPX2	ALDH1A2	CCDC109B	SRP14	DVL2	ALKBH7	FBXO7	CIRBP
LOC721394	LOC100428796	SEMA3D	LOC718628	EDNRA	SLC22A17	SMIM12	LOC710619	DYNC1LI2	SH2D5	EIF4H	LOC718715	MESP1	NDUFB8	KHSRP	KCTD11	NPY1R	COL4A6	PTPDC1	BAZ2B	LOC701270	CBLN3	LOC712547	ART3	ARHGAP20	PLCE1	LOC709285	LOC715816	CTSL	ZNF227	VDAC1	KIF27	PARP14	NUPR1	MRGPRF	XPR1	SYNJ1	SERPINB8	LOC694038	WNK1	LAP3	THBS4
OLFM3	IL27RA	AURKB	GPR158	STIP1	RPL10A	LOC714966	PGPEP1	ANKMY1	PF4	LOC709615	TFAM	LOC710050	USP53	KIF9	PTPN14	MRPL10	NETO2	LOC100428350	SPRN	ABCD3	PDLIM5	MYH11	TRRAP	CHRNB2	PTX3	ARGLU1	ACSS1	LOC701826	UBE3A	SYNE2	LOC716567	MOSC2	C15H9orf85	CDC16	LOC720072	OSBPL3	STXBP4	LOC704104	GABRQ	LOC705696	COCH
IFI6	PCNXL2	SC5DL	UBE2D3	RNF112	LOC703348	SASH3	NPAS4	CHAF1B	KDM1A	TMEM45A	EXOSC3	LOC696825	HNT	MLX	MYO1E	APC2	ZNF510	BSCL2	PTGFR	XIRP1	CYSLTR1	RCC1	SNIP1	C9H10orf120	DCTN2	LOC716860	STX17	PSD2	AKR7A3	ATP1A1	LOC100428667	IFI44L	LOC100423098	HLTF	ST6GALNAC5	CCDC122	PLCG1	LASS4	RASEF	CA2	XRCC6
PTAR1	ARHGAP20	FARP2	CLK1	AVPR2	C6H5orf30	LOC697611	LOC712375	LOC697057	LOC707266	ADCY9	MSI1	DDX47	CACNA1D	NPSR1	KLF4	PABPC4	MPHOSPH10	ZNF12	ORMDL1	TBL1XR1	CISD1	PCDH20	CC2D2A	RAB4A	BIRC6	LOC700603	FAM76A	LDLR	L2HGDH	LOC697227	NAPEPLD	LOC704478	SCNN1G	NXF1	LOC707243	CCNA2	ACAD10	SEPT8	SPATA24	TBL2	CHAC2
ARMC2	ECE2	NAP1L1	ANKRD18A	TMPO	GNL3	LOC709171	DOK1	ZNF500	LOC100428162	TEAD1	SLC11A2	CSTF3	EGFL7	IAPP	LOC716822	SOX10	VPS33B	AFP	ZNF426	LOC722617	SLC17A8	LTBR	AFG3L2	OCEL1	MAST2	FAM55C	CACNA2D1	EGFLAM	MAMU-DOB	EPB41L4A	LOC712288	LOC698967	DNAJB11	PTEN	UNC13A	UBE2A	CCDC81	C10H20orf26	NFATC1	COL9A2	TLL1
TMEM41A	GSG1L	PTAR1	RAP1A	ARPP19	PKP1	LOC706004	TSLP	LOC698907	WSB1	CIZ1	PFDN1	DLL3	ZNF334	ARHGEF17	LOC713680	MPP7	LOC699426	LOC100424721	GPR125	PREX2	RPL10A	MAP3K11	LOC100428896	OBFC2A	LMBRD1	KIAA0247	LOC712835	BTC	LOC100430016	NAA50	TM4SF1	DDX55	RECQL	LOC718490	RAB3B	ZNF514	SCGB3A2	TLL2	LOC717189	RC3H2	MCTP1
CLCN7	COX10	FAM190B	ZC3H3	LOXL1	LOC707279	NOD2	LCMT1	LOC100425019	PPP1R36	ZWINT	LOC715436	DCLK1	LOC699219	TRMT61A	FBXL3	PRKAA1	LRRC37A3	ELMOD1	CDK10	GEMIN8	TIA1	BATF	RMND1	MED9	FAM165B	YAF2	LOC718513	SEPW1	PSMD1	THRSP	LOC701978	LOC100430974	LOC716082	GRID2	LOC713524	LOC708293	ODF2	ANXA5	GTDC1	CYGB	RNF180
IRAK2	FAS	ETFDH	MAPK6	PTGFRN	LOC721848	SYT3	THAP10	ST8SIA5	STX16	LOC708552	LOC100427478	LOC718326	PDIA4	UBAP2L	SCUBE2	PCDH15	PIP4K2A	COQ7	ASB5	ARFIP1	GNMT	LOC699470	KIAA1967	LOC693954	SLC7A13	NAAA	PCOLCE	LOC717435	LOC705220	LOC695512	LOC100423251	TEX9	PI16	EXO1	GALP	LOC100424943	CCAR1	LOC100424360	TXNDC9	CDKN1C	SLC35F2
LY6H	LOC100429729	AK5	C14H11orf9	KIAA1409	SIAH2	TOP1	ERBB4	DPYSL2	POLA2	HPDL	E4F1	LOC703348	ATP5H	DNAJC25	LRRC37A3	INPP5K	RAPGEF1	NOP2	GBAS	RAP1A	LOC100427157	LOC721215	SLC44A5	LOC100423899	SLC15A2	TRAPPC6A	LOC100426215	NAT1	WWP2	DAAM1	LOC693900	OSBPL8	CDPF1	CREG1	ATP8B1	LOC707493	APPBP2	OCLN	LOC716978	LOC100423696	HS3ST2
ZFYVE9	RWDD1	PAMR1	SLC38A9	C8H8orf40	OAS3	FERMT1	LILRA4	S1PR5	ITGAV	LOC100426429	PPM1D	COMMD10	PGAP3	TMEM176A	PAH	UNG	CLK1	TTI1	MED31	PCSK2	TNFAIP3	REXO4	KCNA1	ANK2	CCDC9	SLC35D3	B4GALT1	CMTM5	PRPF4	LOC709110	SPSB3	WDR44	UAP1L1	GPC2	LOC718051	LOC694854	CDK9	LOC721967	TTC30A	ACTN4	LOC705220
LOC711494	SQSTM1	ACBD6	PTRHD1	TMEM187	LOC100427889	LOC716423	LOC720186	LOC704161	IRS2	HEATR7B1	TAF9B	LURAP1	CKLF	CDK11B	OLFM3	CCDC130	ZDHHC2	LOC100425626	NKG7	LOC695843	MTMR2	METTL7A	PCDHAC1	KREMEN2	RAB11FIP1	NUP37	PGRMC2	DEFB1	KLHL26	SEC31B	BNIP2	ACAD10	FGF20	TFPI	LOC709739	ELOVL1	LOC693505	C13H2orf76	GSTCD	ABI3BP	AQP7
